message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=-0.004351, y=10.027043])";"30";"turtle3";"1726388253.952525796";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.004351, y=10.058746])";"30";"turtle3";"1726388253.968382582";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.004351, y=10.090449])";"30";"turtle3";"1726388253.984515962";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.004351, y=10.122152])";"30";"turtle3";"1726388254.000562181";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.004351, y=10.153855])";"30";"turtle3";"1726388254.016515789";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.004351, y=10.185557])";"30";"turtle3";"1726388254.031997993";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.004351, y=10.217260])";"30";"turtle3";"1726388254.048035455";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.004351, y=10.248963])";"30";"turtle3";"1726388254.064023462";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.004351, y=10.280666])";"30";"turtle3";"1726388254.080865839";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.004351, y=10.312369])";"30";"turtle3";"1726388254.096847908";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.004351, y=10.344072])";"30";"turtle3";"1726388254.113067743";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.004351, y=10.375774])";"30";"turtle3";"1726388254.128141942";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.004351, y=10.407477])";"30";"turtle3";"1726388254.144048400";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.004351, y=10.439180])";"30";"turtle3";"1726388254.160266195";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.004351, y=10.470883])";"30";"turtle3";"1726388254.176678366";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.004351, y=10.502586])";"30";"turtle3";"1726388254.192037358";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.004351, y=10.534289])";"30";"turtle3";"1726388254.208198869";"./src/turtle.cpp:update:260"
